GEOID,hispanic,total,h_share
21017,4595,126660,0.036278
21018,1652,123829,0.013341
21019,5718,111899,0.0511
21020,4585,115011,0.039866
21021,2109,118875,0.017741
21022,6256,124195,0.050372
21023,5237,124166,0.042177
21024,2802,120805,0.023194
21025,1678,121125,0.013853
21026,5430,113291,0.04793
21027,4641,122836,0.037782
21028,6249,122844,0.050869
21029,828,122389,0.006765
21030,1393,119423,0.011664
21031,1228,115731,0.010611
21032,3868,124632,0.031035
21033,3561,115355,0.03087
21034,4105,124950,0.032853
21035,16059,109789,0.146271
21036,3087,113808,0.027125
21037,9263,115280,0.080352
21038,5311,115600,0.045943
22001,9694,118290,0.081951
22002,4859,111770,0.043473
22003,6839,119827,0.057074
22004,6614,114335,0.057848
22005,8237,125640,0.06556
22006,5380,115478,0.046589
22007,14956,123541,0.121061
22008,14150,118917,0.118991
22009,15089,120789,0.12492
22010,19088,123273,0.154843
22011,6659,114105,0.058359
22012,3678,111815,0.032894
22013,4997,117571,0.042502
22014,5077,117532,0.043197
22015,5387,112439,0.04791
22016,5650,123982,0.045571
22017,3711,116014,0.031988
22018,6950,120470,0.057691
22019,12623,123641,0.102094
22020,6366,122560,0.051942
22021,7192,117124,0.061405
22022,4349,122961,0.035369
22023,7660,126740,0.060439
22024,3154,124387,0.025356
22025,4737,117413,0.040345
22026,4669,125081,0.037328
22027,4025,116280,0.034615
22028,4928,113072,0.043583
22029,3143,120544,0.026073
22030,7795,113812,0.06849
22031,4192,118706,0.035314
22032,2802,115645,0.024229
22033,3470,117924,0.029426
22034,2177,111575,0.019512
22035,3764,116960,0.032182
22036,6150,124374,0.049448
22037,5841,116344,0.050205
22038,4913,125350,0.039194
22039,4597,123370,0.037262
25D01,8194,167161,0.049019
25D02,30511,164582,0.185385
25D03,81656,169920,0.480556
25D04,14759,165665,0.089089
25D05,9647,160609,0.060065
25D06,9666,167634,0.057661
25D07,15574,181750,0.085689
25D08,20010,171997,0.116339
25D09,34360,159653,0.215217
25D10,24584,175845,0.139805
25D11,24346,174383,0.139612
25D12,13217,176941,0.074697
25D13,17131,173842,0.098544
25D14,9659,177174,0.054517
25D15,14724,167911,0.087689
25D16,8592,178412,0.048158
25D17,8923,181013,0.049295
25D18,19820,182339,0.108699
25D19,95200,157283,0.605278
25D20,16692,189441,0.088112
25D21,5680,179164,0.031703
25D22,18753,168994,0.110968
25D23,10752,182067,0.059055
25D24,48321,181030,0.266923
25D25,56375,173196,0.325498
25D26,50015,182161,0.274565
25D27,15914,180542,0.088146
25D28,16420,176892,0.092825
25D29,48395,185837,0.260416
25D30,26206,185259,0.141456
25D31,4876,172418,0.02828
25D32,7805,171169,0.045598
25D33,7442,168429,0.044185
25D34,16248,171676,0.094643
25D35,8885,181384,0.048984
25D36,7910,181906,0.043484
25D37,12829,168114,0.076311
25D38,25402,165956,0.153065
25D39,4671,185295,0.025208
25D40,8875,175332,0.050618
24001,3116,133177,0.023397
24002,9022,132725,0.067975
24003,18801,119158,0.157782
24004,10502,140431,0.074784
24005,5791,138749,0.041737
24006,11496,128727,0.089305
24007,5468,128329,0.042609
24008,6560,118462,0.055376
24009,7104,122683,0.057905
24010,9105,142643,0.063831
24011,5673,125830,0.045085
24012,12866,131313,0.09798
24013,13162,134783,0.097653
24014,17408,136279,0.127738
24015,14995,129679,0.115632
24016,10727,128790,0.083291
24017,29241,134153,0.217968
